ID,县(市)名称,县(市)代码,数据年份,活立木总蓄积,林分面积合计,用材林面积,防护林面积,薪炭林面积,经济林面积,特用林面积,林分蓄积合计,用材林蓄积,防护林蓄积,薪炭林蓄积,经济林蓄积,特用林蓄积,幼龄林面积合计,幼龄用材林面积,幼龄防护林面积,幼龄薪炭林面积,幼龄经济林面积,幼龄特用林面积,幼龄林蓄积合计,幼龄用材林蓄积,幼龄防护林蓄积,幼龄薪炭林蓄积,幼龄经济林蓄积,幼龄特用林蓄积,中龄林面积合计,中龄用材林面积,中龄防护林面积,中龄薪炭林面积,中龄经济林面积,中龄特用林面积,中龄林蓄积合计,中龄用材林蓄积,中龄防护林蓄积,中龄薪炭林蓄积,中龄经济林蓄积,中龄特用林蓄积,近熟林面积合计,近熟用材林面积,近熟防护林面积,近熟薪炭林面积,近熟经济林面积,近熟特用林面积,近熟林蓄积合计,近熟用材林蓄积,近熟防护林蓄积,近熟薪炭林蓄积,近熟经济林蓄积,近熟特用林蓄积,成熟林面积合计,成熟用材林面积,成熟防护林面积,成熟薪炭林面积,成熟经济林面积,成熟特用林面积,成熟林蓄积合计,成熟用材林蓄积,成熟防护林蓄积,成熟薪炭林蓄积,成熟经济林蓄积,成熟特用林蓄积,过熟林面积合计,过熟用材林面积,过熟防护林面积,过熟薪炭林面积,过熟经济林面积,过熟特用林面积,过熟林蓄积合计,过熟用材林蓄积,过熟防护林蓄积,过熟薪炭林蓄积,过熟经济林蓄积,过熟特用林蓄积,疏林蓄积合计,疏林用材林蓄积,疏林防护林蓄积,疏林薪炭林蓄积,疏林经济林蓄积,疏林特用林蓄积,散生木蓄积合计,散生用材林蓄积,散生防护林蓄积,散生薪炭林蓄积,散生经济林蓄积,散生特用林蓄积,枯立木蓄积合计,枯立用材林蓄积,枯立防护林蓄积,枯立薪炭林蓄积,枯立经济林蓄积,枯立特用林蓄积,总和
11,草滩农场,610191,1980-1984,1800,3000,0,3000,0,0,0,0,0,0,0,0,0,3000,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800
12,阎良,610114,1980-1984,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16900
13,咸阳市,610400,1980-1984,4364809,1657151,179103,1476322,0,0,1726,3291740,171966,3116533,0,0,3241,935304,116219,818246,0,0,839,961623,50508,910776,0,0,339,603498,58678,543933,0,0,887,1933217,110493,1819822,0,0,2902,39463,1142,38321,0,0,0,127578,2066,125512,0,0,0,57221,2402,54819,0,0,0,193511,6481,187030,0,0,0,21665,662,21003,0,0,0,75811,2418,73393,0,0,0,81206,2678,78528,0,0,0,7379,1837,5542,0,0,0,0,0,0,0,0,0,984484
14,旬邑,610429,1980-1984,2765483,990905,50533,940372,0,0,0,2632642,56822,2575820,0,0,0,524251,37615,486636,0,0,0,799536,29467,770069,0,0,0,358227,10163,348064,0,0,0,1438774,20778,1417996,0,0,0,33412,1142,32270,0,0,0,113307,2066,111241,0,0,0,53350,951,52399,0,0,0,185214,2093,183121,0,0,0,21665,662,21003,0,0,0,75811,2418,73393,0,0,0,66024,0,66024,0,0,0,3982,0,3982,0,0,0,0,0,0,0,0,0,62835
15,淳化,610430,1980-1984,137653,130987,38924,92063,0,0,0,60774,43261,17513,0,0,0,100230,22832,77398,0,0,0,8485,2079,6406,0,0,0,30757,16092,14665,0,0,0,52289,41182,11107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76014
16,永寿,610426,1980-1984,341045,158244,0,158244,0,0,0,302254,0,302254,0,0,0,73491,0,73491,0,0,0,49111,0,49111,0,0,0,81714,0,81714,0,0,0,245923,0,245923,0,0,0,3039,0,3039,0,0,0,7220,0,7220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,0,1962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36829
17,长武,610428,1980-1984,177888,135404,26118,109286,0,0,0,104349,35823,68526,0,0,0,82452,14619,67833,0,0,0,39985,12796,27189,0,0,0,49081,10048,39033,0,0,0,56067,18639,37428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3871,1451,2420,0,0,0,8297,4388,3909,0,0,0,8236,2678,5558,0,0,0,1837,1837,0,0,0,0,0,0,0,0,0,0,63466
18,彬县,610427,1980-1984,141214,143011,48118,94893,0,0,0,104077,29144,74933,0,0,0,79044,26767,52277,0,0,0,4810,1346,3464,0,0,0,63967,21351,42616,0,0,0,99267,27798,71469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3466,0,3466,0,0,0,1560,0,1560,0,0,0,0,0,0,0,0,0,32111
19,乾县,610424,1980-1984,95259,31002,5886,24746,0,0,370,15985,3050,12596,0,0,339,31002,5886,24746,0,0,370,15985,3050,12596,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653,0,653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78621
20,兴平,610421,1980-1984,122006,1259,0,1259,0,0,0,3662,0,3662,0,0,0,1259,0,1259,0,0,0,3662,0,3662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118344
