ID,县(市)名称,县(市)代码,数据年份,活立木总蓄积,林分面积合计,用材林面积,防护林面积,薪炭林面积,经济林面积,特用林面积,林分蓄积合计,用材林蓄积,防护林蓄积,薪炭林蓄积,经济林蓄积,特用林蓄积,幼龄林面积合计,幼龄用材林面积,幼龄防护林面积,幼龄薪炭林面积,幼龄经济林面积,幼龄特用林面积,幼龄林蓄积合计,幼龄用材林蓄积,幼龄防护林蓄积,幼龄薪炭林蓄积,幼龄经济林蓄积,幼龄特用林蓄积,中龄林面积合计,中龄用材林面积,中龄防护林面积,中龄薪炭林面积,中龄经济林面积,中龄特用林面积,中龄林蓄积合计,中龄用材林蓄积,中龄防护林蓄积,中龄薪炭林蓄积,中龄经济林蓄积,中龄特用林蓄积,近熟林面积合计,近熟用材林面积,近熟防护林面积,近熟薪炭林面积,近熟经济林面积,近熟特用林面积,近熟林蓄积合计,近熟用材林蓄积,近熟防护林蓄积,近熟薪炭林蓄积,近熟经济林蓄积,近熟特用林蓄积,成熟林面积合计,成熟用材林面积,成熟防护林面积,成熟薪炭林面积,成熟经济林面积,成熟特用林面积,成熟林蓄积合计,成熟用材林蓄积,成熟防护林蓄积,成熟薪炭林蓄积,成熟经济林蓄积,成熟特用林蓄积,过熟林面积合计,过熟用材林面积,过熟防护林面积,过熟薪炭林面积,过熟经济林面积,过熟特用林面积,过熟林蓄积合计,过熟用材林蓄积,过熟防护林蓄积,过熟薪炭林蓄积,过熟经济林蓄积,过熟特用林蓄积,疏林蓄积合计,疏林用材林蓄积,疏林防护林蓄积,疏林薪炭林蓄积,疏林经济林蓄积,疏林特用林蓄积,散生木蓄积合计,散生用材林蓄积,散生防护林蓄积,散生薪炭林蓄积,散生经济林蓄积,散生特用林蓄积,枯立木蓄积合计,枯立用材林蓄积,枯立防护林蓄积,枯立薪炭林蓄积,枯立经济林蓄积,枯立特用林蓄积,总和
41,韩城,612102,1980-1984,1292931,484644,25977,458319,0,0,348,1178764,41288,1137476,0,0,0,217130,15014,201768,0,0,348,145315,18957,126358,0,0,0,198173,9484,188689,0,0,0,598535,19788,578747,0,0,0,48622,1069,47553,0,0,0,310269,1108,309161,0,0,0,20155,410,19745,0,0,0,122517,1435,121082,0,0,0,564,0,564,0,0,0,2128,0,2128,0,0,0,6843,0,6843,0,0,0,2032,75,1957,0,0,0,0,0,0,0,0,0,105292
42,合阳,612132,1980-1984,89805,55785,0,55785,0,0,0,3800,0,3800,0,0,0,54185,0,54185,0,0,0,3600,0,3600,0,0,0,1600,0,1600,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0,0,0,0,85805
43,澄城,612129,1980-1984,80256,6218,907,5025,0,0,286,13386,0,13386,0,0,0,5213,907,4020,0,0,286,8403,0,8403,0,0,0,1005,0,1005,0,0,0,4983,0,4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,714,0,714,0,0,0,276,0,276,0,0,0,0,0,0,0,0,0,65880
44,白水,612130,1980-1984,299082,90928,25571,65357,0,0,0,219349,92520,126829,0,0,0,44488,4669,39819,0,0,0,62100,6064,56036,0,0,0,46440,20902,25538,0,0,0,157249,86456,70793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,105,0,0,0,0,0,0,0,0,0,79628
45,富平,612133,1980-1984,223525,18994,8466,10528,0,0,0,58356,32126,26230,0,0,0,14191,6208,7983,0,0,0,24576,6041,18535,0,0,0,4803,2258,2545,0,0,0,33780,26085,7695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,1354,0,0,0,0,8560,8560,0,0,0,0,0,0,0,0,0,0,155255
46,潼关,612126,1980-1984,290465,100219,2170,98049,0,0,0,271306,0,271306,0,0,0,54237,2170,52067,0,0,0,80832,0,80832,0,0,0,45982,0,45982,0,0,0,190474,0,190474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19159
47,华阴,612103,1980-1984,201876,105006,0,103461,0,0,1545,135927,0,135927,0,0,0,72809,0,71264,0,0,1545,25533,0,25533,0,0,0,28853,0,28853,0,0,0,88751,0,88751,0,0,0,1949,0,1949,0,0,0,10270,0,10270,0,0,0,1395,0,1395,0,0,0,11373,0,11373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5713,0,5713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60236
48,渭南,612101,1980-1984,584000,77409,7439,69970,0,0,0,189869,6887,182982,0,0,0,41929,6735,35194,0,0,0,45919,3928,41991,0,0,0,35480,704,34776,0,0,0,143950,2959,140991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15547,0,15547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378584
49,蒲城,612128,1980-1984,298226,25052,2783,22269,0,0,0,57877,5191,52686,0,0,0,20036,2368,17668,0,0,0,42808,4340,38468,0,0,0,4594,413,4181,0,0,0,13347,830,12517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,2,420,0,0,0,1722,21,1701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,240314
50,华县,612124,1980-1984,1539747,514531,293594,220937,0,0,0,1122066,703129,418937,0,0,0,163098,90763,72335,0,0,0,172288,98153,74135,0,0,0,282870,165053,117817,0,0,0,752681,497296,255385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68563,37778,30785,0,0,0,197097,107680,89417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2143,2143,0,0,0,0,213381,0,213381,0,0,0,0,0,0,0,0,0,202157
51,大荔,612127,1980-1984,523685,50138,0,50138,0,0,0,67594,0,67594,0,0,0,22795,0,22795,0,0,0,22268,0,22268,0,0,0,27343,0,27343,0,0,0,45326,0,45326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454783
52,三门峡农,612191,1980-1984,0,9400,0,9400,0,0,0,0,0,0,0,0,0,9400,0,9400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,铜川市,610200,1980-1984,2645904,830091,207492,620627,0,0,1972,2168607,519697,1644305,0,0,4605,191264,54521,136452,0,0,291,147290,60068,86909,0,0,313,491091,105753,384421,0,0,917,1451527,275907,1173504,0,0,2116,61634,19247,42387,0,0,0,218125,55474,162651,0,0,0,86102,27971,57367,0,0,764,351665,128248,221241,0,0,2176,0,0,0,0,0,0,0,0,0,0,0,0,206026,30643,175383,0,0,0,82237,47165,35072,0,0,0,0,0,0,0,0,0,189034
54,宜君,610222,1980-1984,1299568,361207,103785,257422,0,0,0,1150777,330311,820466,0,0,0,19052,8952,10100,0,0,0,18411,11307,7104,0,0,0,195390,47615,147775,0,0,0,565174,135282,429892,0,0,0,61427,19247,42180,0,0,0,217703,55474,162229,0,0,0,85338,27971,57367,0,0,0,349489,128248,221241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63739,0,63739,0,0,0,34796,0,34796,0,0,0,0,0,0,0,0,0,50256
55,郊区,610203,1980-1984,406167,130689,18202,112130,0,0,357,342436,36216,306220,0,0,0,25645,2256,23389,0,0,0,16606,0,16606,0,0,0,104837,15946,88534,0,0,357,325408,36216,289192,0,0,0,207,0,207,0,0,0,422,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,746,0,746,0,0,0,276,0,276,0,0,0,0,0,0,0,0,0,62709
56,耀县,610221,1980-1984,940169,338195,85505,251075,0,0,1615,675394,153170,517619,0,0,4605,146567,43313,102963,0,0,291,112273,48761,63199,0,0,313,190864,42192,148112,0,0,560,560945,104409,454420,0,0,2116,0,0,0,0,0,0,0,0,0,0,0,0,764,0,0,0,0,764,2176,0,0,0,0,2176,0,0,0,0,0,0,0,0,0,0,0,0,141541,30643,110898,0,0,0,47165,47165,0,0,0,0,0,0,0,0,0,0,76069
57,延安地区,612600,1980-1984,40703261,13538016,7677141,5752509,106825,0,1541,38756676,26161850,12583206,0,0,11620,2447308,1280173,1060217,106825,0,93,2300327,1802862,497465,0,0,0,6703869,4473215,2230625,0,0,29,19945153,14902103,5043005,0,0,45,1837656,631990,1205666,0,0,0,5074716,2093395,2981321,0,0,0,2549183,1291763,1256001,0,0,1419,11436480,7363490,4061415,0,0,11575,0,0,0,0,0,0,0,0,0,0,0,0,946889,946889,0,0,0,0,326762,326762,0,0,0,0,0,0,0,0,0,0,672934
58,延安,612601,1980-1984,2466367,1202731,6009,1196699,0,0,23,2275823,9559,2266219,0,0,45,174584,914,173670,0,0,0,36181,294,35887,0,0,0,599812,5095,594694,0,0,23,1229415,9265,1220105,0,0,45,312314,0,312314,0,0,0,707906,0,707906,0,0,0,116021,0,116021,0,0,0,302321,0,302321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48818,48818,0,0,0,0,24664,24664,0,0,0,0,0,0,0,0,0,0,117062
59,延长,612621,1980-1984,192278,84779,37987,46792,0,0,0,140985,82353,58632,0,0,0,31660,0,31660,0,0,0,19418,0,19418,0,0,0,15677,1030,14647,0,0,0,41098,3995,37103,0,0,0,36287,35802,485,0,0,0,78516,76405,2111,0,0,0,1155,1155,0,0,0,0,1953,1953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10024,10024,0,0,0,0,2145,2145,0,0,0,0,0,0,0,0,0,0,39124
60,延川,612622,1980-1984,108741,110409,0,110409,0,0,0,61614,0,61614,0,0,0,101451,0,101451,0,0,0,41857,0,41857,0,0,0,8692,0,8692,0,0,0,18629,0,18629,0,0,0,80,0,80,0,0,0,385,0,385,0,0,0,186,0,186,0,0,0,743,0,743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812,1812,0,0,0,0,22425,22425,0,0,0,0,0,0,0,0,0,0,22890
61,子长,612623,1980-1984,192850,79945,9834,70111,0,0,0,124577,19913,104664,0,0,0,47654,4238,43416,0,0,0,40661,4185,36476,0,0,0,29484,4948,24536,0,0,0,72934,11816,61118,0,0,0,2713,615,2098,0,0,0,10497,3754,6743,0,0,0,94,33,61,0,0,0,485,158,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7413,7413,0,0,0,0,27336,27336,0,0,0,0,0,0,0,0,0,0,33524
62,安塞,612624,1980-1984,358516,289371,115482,173889,0,0,0,270812,138928,131884,0,0,0,105954,25497,80457,0,0,0,24488,3427,21061,0,0,0,79230,24720,54510,0,0,0,100208,33684,66524,0,0,0,58734,35806,22928,0,0,0,80148,60647,19501,0,0,0,45453,29459,15994,0,0,0,65968,41170,24798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5837,5837,0,0,0,0,9483,9483,0,0,0,0,0,0,0,0,0,0,72384
63,志丹,612625,1980-1984,2293886,1066108,76991,989117,0,0,0,2217694,85866,2131828,0,0,0,84507,25152,59355,0,0,0,57522,1402,56120,0,0,0,339901,50415,289486,0,0,0,621989,79943,542046,0,0,0,464631,235,464396,0,0,0,1016979,334,1016645,0,0,0,177069,1189,175880,0,0,0,521204,4187,517017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40504,40504,0,0,0,0,8917,8917,0,0,0,0,0,0,0,0,0,0,26771
64,吴旗,612626,1980-1984,230165,241208,61911,73481,105810,0,6,173986,122808,51178,0,0,0,176667,12357,58500,105810,0,0,17748,2856,14892,0,0,0,24915,19109,5800,0,0,6,51295,39442,11853,0,0,0,12711,11141,1570,0,0,0,31523,27852,3671,0,0,0,26915,19304,7611,0,0,0,73420,52658,20762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2092,2092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54087
65,甘泉,612627,1980-1984,4253108,1429748,1402716,27032,0,0,0,4220050,4133966,86084,0,0,0,382293,375162,7131,0,0,0,277635,266454,11181,0,0,0,748819,734593,14226,0,0,0,2355467,2310718,44749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298636,292961,5675,0,0,0,1586948,1556794,30154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17899,17899,0,0,0,0,7743,7743,0,0,0,0,0,0,0,0,0,0,7416
66,富县,612628,1980-1984,7934438,2818838,1939590,879248,0,0,0,7616643,5238134,2378509,0,0,0,188240,135744,52496,0,0,0,270395,197999,72396,0,0,0,1919786,1316832,602954,0,0,0,4686623,3217715,1468908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710812,487014,223798,0,0,0,2659625,1822420,837205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268497,268497,0,0,0,0,13371,13371,0,0,0,0,0,0,0,0,0,0,35927
67,洛川,612629,1980-1984,1515938,680074,319640,360434,0,0,0,1274937,858120,416817,0,0,0,224983,28667,196316,0,0,0,35493,13099,22394,0,0,0,231155,132904,98251,0,0,0,536984,312638,224346,0,0,0,161024,112043,48981,0,0,0,455050,332789,122261,0,0,0,62912,46026,16886,0,0,0,247410,199594,47816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11490,11490,0,0,0,0,11978,11978,0,0,0,0,0,0,0,0,0,0,217533
68,宜川,612630,1980-1984,2875343,1063961,0,1063961,0,0,0,2751523,0,2751523,0,0,0,97834,0,97834,0,0,0,76450,0,76450,0,0,0,207015,0,207015,0,0,0,393781,0,393781,0,0,0,186324,0,186324,0,0,0,494808,0,494808,0,0,0,572788,0,572788,0,0,0,1786484,0,1786484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67671,67671,0,0,0,0,47081,47081,0,0,0,0,0,0,0,0,0,0,9068
69,黄龙,612631,1980-1984,11371934,2372606,2354513,18093,0,0,0,11019455,10970082,49373,0,0,0,638649,629566,9083,0,0,0,1300159,1285250,14909,0,0,0,1560971,1551961,9010,0,0,0,7034147,6999683,34464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172986,172986,0,0,0,0,2685149,2685149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212804,212804,0,0,0,0,136216,136216,0,0,0,0,0,0,0,0,0,0,3459
70,黄陵,612632,1980-1984,6909697,2098238,1352468,743243,1015,0,1512,6608577,4502121,2094881,0,0,11575,192832,42876,148848,1015,0,93,102320,27896,74424,0,0,0,938412,631608,306804,0,0,0,2802583,1883204,919379,0,0,0,602838,436348,166490,0,0,0,2198904,1591614,607290,0,0,0,364156,241636,121101,0,0,1419,1504770,999407,493788,0,0,11575,0,0,0,0,0,0,0,0,0,0,0,0,252028,252028,0,0,0,0,15403,15403,0,0,0,0,0,0,0,0,0,0,33689
71,榆林地区,612700,1980-1984,3516365,3063148,1091794,1923125,0,0,48229,1247774,192440,1022427,0,0,32907,2278082,945818,1315717,0,0,16547,272978,60774,211271,0,0,933,640315,118742,510604,0,0,10969,796424,111044,674969,0,0,10411,88083,26867,60787,0,0,429,98857,20471,78193,0,0,193,42188,367,35687,0,0,6134,64970,151,57532,0,0,7287,14480,0,330,0,0,14150,14545,0,462,0,0,14083,199335,150127,47903,0,0,1305,73913,73830,83,0,0,0,0,0,0,0,0,0,1995343
72,榆林,612701,1980-1984,470450,278555,140646,137909,0,0,0,73629,17412,56217,0,0,0,250603,113025,137578,0,0,0,53194,0,53194,0,0,0,22186,21974,212,0,0,0,13062,12025,1037,0,0,0,5766,5647,119,0,0,0,7373,5387,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396821
73,神木,612722,1980-1984,528039,249142,137657,111485,0,0,0,179619,58890,120729,0,0,0,187757,116990,70767,0,0,0,72477,22401,50076,0,0,0,55170,18979,36191,0,0,0,97907,32117,65790,0,0,0,6215,1688,4527,0,0,0,9235,4372,4863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33038,33038,0,0,0,0,68143,68143,0,0,0,0,0,0,0,0,0,0,247239
74,府谷,612723,1980-1984,340652,200637,0,161399,0,0,39238,182574,0,149667,0,0,32907,86292,0,78736,0,0,7556,17542,0,16609,0,0,933,52797,0,41828,0,0,10969,65651,0,55240,0,0,10411,8833,0,8404,0,0,429,22303,0,22110,0,0,193,38235,0,32101,0,0,6134,62533,0,55246,0,0,7287,14480,0,330,0,0,14150,14545,0,462,0,0,14083,5094,0,3789,0,0,1305,0,0,0,0,0,0,0,0,0,0,0,0,152984
75,横山,612724,1980-1984,526923,426567,178345,248222,0,0,0,245690,8816,236874,0,0,0,309572,174147,135425,0,0,0,0,0,0,0,0,0,109755,4198,105557,0,0,0,230486,8816,221670,0,0,0,7240,0,7240,0,0,0,15204,0,15204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113983,113983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167250
76,靖边,612725,1980-1984,743183,944206,504422,430793,0,0,8991,86223,74395,11828,0,0,0,888936,453220,426725,0,0,8991,34050,30121,3929,0,0,0,41420,39035,2385,0,0,0,41672,36444,5228,0,0,0,13850,12167,1683,0,0,0,10501,7830,2671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1267,1267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655693
77,定边,612726,1980-1984,226366,304961,19014,285947,0,0,0,115914,5733,110181,0,0,0,145626,8197,137429,0,0,0,0,0,0,0,0,0,145514,10817,134697,0,0,0,100671,5733,94938,0,0,0,13821,0,13821,0,0,0,15243,0,15243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36128,0,36128,0,0,0,5687,5687,0,0,0,0,0,0,0,0,0,0,68637
78,绥德,612727,1980-1984,22764,45119,42981,2138,0,0,0,2901,2162,739,0,0,0,43302,41458,1844,0,0,0,0,0,0,0,0,0,1817,1523,294,0,0,0,2901,2162,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,740,740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19123
79,米脂,612728,1980-1984,48483,30326,16876,13450,0,0,0,15856,7751,8105,0,0,0,23514,14475,9039,0,0,0,4052,2998,1054,0,0,0,6320,2250,4070,0,0,0,10644,4626,6018,0,0,0,492,151,341,0,0,0,1160,127,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32627
80,佳县,612729,1980-1984,147432,118107,29398,88709,0,0,0,43449,11432,32017,0,0,0,47650,12240,35410,0,0,0,16778,4673,12105,0,0,0,41825,10457,31368,0,0,0,15618,4073,11545,0,0,0,25335,6334,19001,0,0,0,9758,2535,7223,0,0,0,3297,367,2930,0,0,0,1295,151,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103983
81,吴堡,612730,1980-1984,8134,32685,13585,19100,0,0,0,1580,829,751,0,0,0,22428,8648,13780,0,0,0,0,0,0,0,0,0,8196,4057,4139,0,0,0,1147,609,538,0,0,0,2061,880,1181,0,0,0,433,220,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1044,1044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5510
82,清涧,612731,1980-1984,366248,328007,3126,324881,0,0,0,256259,1386,254873,0,0,0,219534,2534,217000,0,0,0,69940,152,69788,0,0,0,103404,592,102812,0,0,0,177592,1234,176358,0,0,0,4413,0,4413,0,0,0,7585,0,7585,0,0,0,656,0,656,0,0,0,1142,0,1142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7262,0,7262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102727
83,子洲,612732,1980-1984,87691,104836,5744,99092,0,0,0,44080,3634,40446,0,0,0,52868,884,51984,0,0,0,4945,429,4516,0,0,0,51911,4860,47051,0,0,0,39073,3205,35868,0,0,0,57,0,57,0,0,0,62,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,55,724,0,0,0,83,0,83,0,0,0,0,0,0,0,0,0,42749
84,汉中地区,612300,1980-1984,68789920,15455582,8960648,2445182,2839720,774759,435273,65623792,44791204,13417794,3136818,1652098,2625878,8109617,3974675,1023773,2568212,512181,30776,13697577,9367599,1780895,1957308,553095,38680,3683376,2644794,583738,224221,187464,43159,20134737,14905267,3789855,859620,527657,52338,842687,540473,162035,21288,34943,83948,6412364,4212658,1129397,141225,265302,663782,2199706,1529697,505354,17497,28022,119136,19663065,14240982,4323303,115488,189996,793296,620196,271009,170282,8502,12149,158254,5716049,2064698,2394344,63177,116048,1077782,726022,0,0,0,0,0,1462786,0,0,0,0,0,0,0,0,0,0,0,977320
85,汉中,612301,1980-1984,421314,120872,113242,4092,3022,0,516,364723,332143,18608,6837,0,7135,92094,87222,1350,3022,0,500,198925,181935,3053,6837,0,7100,27858,25100,2742,0,0,16,157990,142400,15555,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,920,920,0,0,0,0,7808,7808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56591
86,南郑,612321,1980-1984,8158924,1646225,1209023,299210,116557,20303,1132,7919355,6110202,1641736,130935,32056,4426,631390,439224,83069,90541,17541,1015,1131745,914053,140337,47634,25926,3795,455309,342183,84893,25405,2711,117,2020718,1594577,338392,81044,6074,631,177720,150636,27033,0,51,0,1406348,1281892,124400,0,56,0,330506,237658,92237,611,0,0,2863001,2199957,660787,2257,0,0,51300,39322,11978,0,0,0,497543,119723,377820,0,0,0,9587,0,0,0,0,0,80713,0,0,0,0,0,0,0,0,0,0,0,149269
87,城固,612322,1980-1984,6778040,1577276,758141,606421,190445,22269,0,6682748,2543021,3697650,385380,56697,0,954491,532304,249604,156244,16339,0,1625182,990337,411397,219711,3737,0,234778,101507,102148,30873,250,0,1135948,431734,558043,144887,1284,0,119635,50428,65766,1483,1958,0,940957,414517,507448,6741,12251,0,110833,39560,67333,1262,2678,0,898069,378677,487042,10541,21809,0,157539,34342,121570,583,1044,0,2082592,327756,1733720,3500,17616,0,5934,0,0,0,0,0,7538,0,0,0,0,0,0,0,0,0,0,0,81820
88,洋县,612323,1980-1984,13132630,2390746,1531618,370885,488243,0,0,12990002,9685467,3269387,35148,0,0,1286311,705666,92402,488243,0,0,2627585,2179750,412687,35148,0,0,487256,346285,140971,0,0,0,3858876,2538455,1320421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,617179,479667,137512,0,0,0,6503541,4967262,1536279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129887
89,西乡,612324,1980-1984,4303693,1332225,510330,44415,776010,0,1470,4103959,2781892,288679,1014591,0,18797,1111350,348750,28710,733890,0,0,1985080,1082514,98524,804042,0,0,175800,122760,10920,42120,0,0,1452193,1125626,116018,210549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45075,38820,4785,0,0,1470,666686,573752,74137,0,0,18797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199734
90,勉县,612325,1980-1984,4732616,1352798,801576,311924,239234,0,64,4533458,2845212,1585711,102535,0,0,618939,322500,62441,233934,0,64,813203,581361,159592,72250,0,0,328119,236659,86160,5300,0,0,1509974,1015279,464410,30285,0,0,119985,83684,36301,0,0,0,526084,339089,186995,0,0,0,235708,128704,107004,0,0,0,1361208,718182,643026,0,0,0,50047,30029,20018,0,0,0,322989,191301,131688,0,0,0,177680,0,0,0,0,0,792,0,0,0,0,0,0,0,0,0,0,0,20686
